sample_id,dataset_id,original_recording_id,class,segment_index,duration,sample_rate,channels,processed_path,quality_status,event_id,platform_id,cartridge_id,mic_id,fsc22_class_name,event_interval_id,interval_start,interval_end,esc50_category
c3gd_1-ny_gravel_pit-sw_mp15-BUTCH-Zkr7uaXrN8YC-1_0000,c3gd,c3gd_ny_gravel_pit_1-ny_gravel_pit-sw_mp15-BUTCH-Zkr7uaXrN8YC-1,gunshot,0,1.0,16000,1,datasets/processed/c3gd_1-ny_gravel_pit-sw_mp15-BUTCH-Zkr7uaXrN8YC-1_0000.wav,OK,ny_gravel_pit,sw_mp15,hornady_08255_223rem_55,BUTCH,,,,,
c3gd_17-nj_farm_2-sig_p365-bluebell_DOM2-kghnh22m1enr_20-5_0000,c3gd,c3gd_nj_farm_2_17-nj_farm_2-sig_p365-bluebell_DOM2-kghnh22m1enr_20-5,gunshot,0,1.0,16000,1,datasets/processed/c3gd_17-nj_farm_2-sig_p365-bluebell_DOM2-kghnh22m1enr_20-5_0000.wav,OK,nj_farm_2,sig_p365,ammo_inc_115gr_tmc,bluebell_DOM2,,,,,
c3gd_2-nj_farm_2-ar_15-calla_DOM2-ej9r8nso782o_5-2_0000,c3gd,c3gd_nj_farm_2_2-nj_farm_2-ar_15-calla_DOM2-ej9r8nso782o_5-2,gunshot,0,1.0,16000,1,datasets/processed/c3gd_2-nj_farm_2-ar_15-calla_DOM2-ej9r8nso782o_5-2_0000.wav,OK,nj_farm_2,ar_15,xtreme_147gr,calla_DOM2,,,,,
c3gd_17-nj_farm_2-sig_p226_legion-calla_DOM2-4fjlchfg107s_21-0_0000,c3gd,c3gd_nj_farm_2_17-nj_farm_2-sig_p226_legion-calla_DOM2-4fjlchfg107s_21-0,gunshot,0,1.0,16000,1,datasets/processed/c3gd_17-nj_farm_2-sig_p226_legion-calla_DOM2-4fjlchfg107s_21-0_0000.wav,OK,nj_farm_2,sig_p226_legion,ammo_inc_115gr_tmc,calla_DOM2,,,,,
c3gd_6-nj_farm_2-colt_m1911_a1cs-bluebell_DOM2-pabeo8851nss_12-2_0000,c3gd,c3gd_nj_farm_2_6-nj_farm_2-colt_m1911_a1cs-bluebell_DOM2-pabeo8851nss_12-2,gunshot,0,1.0,16000,1,datasets/processed/c3gd_6-nj_farm_2-colt_m1911_a1cs-bluebell_DOM2-pabeo8851nss_12-2_0000.wav,OK,nj_farm_2,colt_m1911_a1cs,hand_load_230gr,bluebell_DOM2,,,,,
c3gd_12-ny_gravel_pit-sw_mp15-BOB-wfJLijD8_RAC-8_0000,c3gd,c3gd_ny_gravel_pit_12-ny_gravel_pit-sw_mp15-BOB-wfJLijD8_RAC-8,gunshot,0,1.0,16000,1,datasets/processed/c3gd_12-ny_gravel_pit-sw_mp15-BOB-wfJLijD8_RAC-8_0000.wav,OK,ny_gravel_pit,sw_mp15,winchester_tp_556NATO_55,BOB,,,,,
c3gd_2-nj_farm_2-ar_15-lilypad_DOM2-h0a15a3bcfjs_6-3_0000,c3gd,c3gd_nj_farm_2_2-nj_farm_2-ar_15-lilypad_DOM2-h0a15a3bcfjs_6-3,gunshot,0,1.0,16000,1,datasets/processed/c3gd_2-nj_farm_2-ar_15-lilypad_DOM2-h0a15a3bcfjs_6-3_0000.wav,OK,nj_farm_2,ar_15,xtreme_147gr,lilypad_DOM2,,,,,
c3gd_12-ny_gravel_pit-sw_mp15-JON-Qoar7WPiWXH6-15_0000,c3gd,c3gd_ny_gravel_pit_12-ny_gravel_pit-sw_mp15-JON-Qoar7WPiWXH6-15,gunshot,0,1.0,16000,1,datasets/processed/c3gd_12-ny_gravel_pit-sw_mp15-JON-Qoar7WPiWXH6-15_0000.wav,OK,ny_gravel_pit,sw_mp15,winchester_tp_556NATO_55,JON,,,,,
c3gd_3-nj_farm_2-tauros_856-bluebell_DOM2-pabeo8851nss_15-4_0000,c3gd,c3gd_nj_farm_2_3-nj_farm_2-tauros_856-bluebell_DOM2-pabeo8851nss_15-4,gunshot,0,1.0,16000,1,datasets/processed/c3gd_3-nj_farm_2-tauros_856-bluebell_DOM2-pabeo8851nss_15-4_0000.wav,OK,nj_farm_2,tauros_856,hand_load_148gr,bluebell_DOM2,,,,,
c3gd_3-nj_farm_2-tauros_66-acorn_DOM2-f88ebad7kp7t_15-11_0000,c3gd,c3gd_nj_farm_2_3-nj_farm_2-tauros_66-acorn_DOM2-f88ebad7kp7t_15-11,gunshot,0,1.0,16000,1,datasets/processed/c3gd_3-nj_farm_2-tauros_66-acorn_DOM2-f88ebad7kp7t_15-11_0000.wav,OK,nj_farm_2,tauros_66,hand_load_148gr,acorn_DOM2,,,,,
c3gd_12-ny_gravel_pit-sw_mp15-ALICE-OgSQVUQ0EWCg-14_0000,c3gd,c3gd_ny_gravel_pit_12-ny_gravel_pit-sw_mp15-ALICE-OgSQVUQ0EWCg-14,gunshot,0,1.0,16000,1,datasets/processed/c3gd_12-ny_gravel_pit-sw_mp15-ALICE-OgSQVUQ0EWCg-14_0000.wav,OK,ny_gravel_pit,sw_mp15,winchester_tp_556NATO_55,ALICE,,,,,
c3gd_7-nj_farm_2-keltec_ks7-calla_DOM2-4fjlchfg107s_48-4_0000,c3gd,c3gd_nj_farm_2_7-nj_farm_2-keltec_ks7-calla_DOM2-4fjlchfg107s_48-4,gunshot,0,1.0,16000,1,datasets/processed/c3gd_7-nj_farm_2-keltec_ks7-calla_DOM2-4fjlchfg107s_48-4_0000.wav,OK,nj_farm_2,keltec_ks7,hornady_american_whitetail_slug,calla_DOM2,,,,,
c3gd_9-ny_gravel_pit-nef_pardner_20ga-ALICE-chZ4MwlqCBk4-10_0000,c3gd,c3gd_ny_gravel_pit_9-ny_gravel_pit-nef_pardner_20ga-ALICE-chZ4MwlqCBk4-10,gunshot,0,1.0,16000,1,datasets/processed/c3gd_9-ny_gravel_pit-nef_pardner_20ga-ALICE-chZ4MwlqCBk4-10_0000.wav,OK,ny_gravel_pit,nef_pardner_20ga,winchester_sx_20g_rshp,ALICE,,,,,
c3gd_13-nj_farm_2-savage_magpul_hunter_110-bluebell_DOM2-g0lloh71ako8_8-0_0000,c3gd,c3gd_nj_farm_2_13-nj_farm_2-savage_magpul_hunter_110-bluebell_DOM2-g0lloh71ako8_8-0,gunshot,0,1.0,16000,1,datasets/processed/c3gd_13-nj_farm_2-savage_magpul_hunter_110-bluebell_DOM2-g0lloh71ako8_8-0_0000.wav,OK,nj_farm_2,savage_magpul_hunter_110,hornady_precision_143rg,bluebell_DOM2,,,,,
c3gd_6-nj_farm_2-colt_m1911_a1cs-calla_DOM2-nt040957mble_12-6_0000,c3gd,c3gd_nj_farm_2_6-nj_farm_2-colt_m1911_a1cs-calla_DOM2-nt040957mble_12-6,gunshot,0,1.0,16000,1,datasets/processed/c3gd_6-nj_farm_2-colt_m1911_a1cs-calla_DOM2-nt040957mble_12-6_0000.wav,OK,nj_farm_2,colt_m1911_a1cs,hand_load_230gr,calla_DOM2,,,,,
c3gd_12-nj_farm_2-aero_upper-acorn_DOM2-n6bp00eci9dl_15-8_0000,c3gd,c3gd_nj_farm_2_12-nj_farm_2-aero_upper-acorn_DOM2-n6bp00eci9dl_15-8,gunshot,0,1.0,16000,1,datasets/processed/c3gd_12-nj_farm_2-aero_upper-acorn_DOM2-n6bp00eci9dl_15-8_0000.wav,OK,nj_farm_2,aero_upper,hornady_frontier_556_55gr,acorn_DOM2,,,,,
c3gd_7-ny_gravel_pit-remington_870_12ga-ALICE-IZVvC9mvoYIY-24_0000,c3gd,c3gd_ny_gravel_pit_7-ny_gravel_pit-remington_870_12ga-ALICE-IZVvC9mvoYIY-24,gunshot,0,1.0,16000,1,datasets/processed/c3gd_7-ny_gravel_pit-remington_870_12ga-ALICE-IZVvC9mvoYIY-24_0000.wav,OK,ny_gravel_pit,remington_870_12ga,,ALICE,,,,,
c3gd_17-nj_farm_2-sw_mp_fpc_compliant-lilypad_SAMSON-3qq3r3ac4nkr_18-1_0000,c3gd,c3gd_nj_farm_2_17-nj_farm_2-sw_mp_fpc_compliant-lilypad_SAMSON-3qq3r3ac4nkr_18-1,gunshot,0,1.0,16000,1,datasets/processed/c3gd_17-nj_farm_2-sw_mp_fpc_compliant-lilypad_SAMSON-3qq3r3ac4nkr_18-1_0000.wav,OK,nj_farm_2,sw_mp_fpc_compliant,ammo_inc_115gr_tmc,lilypad_SAMSON,,,,,
c3gd_14-nj_farm_2-ak_47-acorn_DOM2-6r26hd71ko7e_1-3_0000,c3gd,c3gd_nj_farm_2_14-nj_farm_2-ak_47-acorn_DOM2-6r26hd71ko7e_1-3,gunshot,0,1.0,16000,1,datasets/processed/c3gd_14-nj_farm_2-ak_47-acorn_DOM2-6r26hd71ko7e_1-3_0000.wav,OK,nj_farm_2,ak_47,tela_124gr_fmj,acorn_DOM2,,,,,
c3gd_8-ny_gravel_pit-stevens_770-JON-kG3MDFT45f4l-16_0000,c3gd,c3gd_ny_gravel_pit_8-ny_gravel_pit-stevens_770-JON-kG3MDFT45f4l-16,gunshot,0,1.0,16000,1,datasets/processed/c3gd_8-ny_gravel_pit-stevens_770-JON-kG3MDFT45f4l-16_0000.wav,OK,ny_gravel_pit,stevens_770,remington_gl_16g_75s,JON,,,,,
fsc22_2_10201_0000,fsc22,fsc22_2_10201,background,0,1.0,16000,1,datasets/processed/fsc22_2_10201_0000.wav,OK,,,,,Rain,,,,
fsc22_2_10201_0001,fsc22,fsc22_2_10201,background,1,1.0,16000,1,datasets/processed/fsc22_2_10201_0001.wav,OK,,,,,Rain,,,,
fsc22_2_10201_0002,fsc22,fsc22_2_10201,background,2,1.0,16000,1,datasets/processed/fsc22_2_10201_0002.wav,OK,,,,,Rain,,,,
fsc22_2_10201_0003,fsc22,fsc22_2_10201,background,3,1.0,16000,1,datasets/processed/fsc22_2_10201_0003.wav,OK,,,,,Rain,,,,
fsc22_2_10201_0004,fsc22,fsc22_2_10201,background,4,1.0,16000,1,datasets/processed/fsc22_2_10201_0004.wav,OK,,,,,Rain,,,,
fsc22_2_10201_0005,fsc22,fsc22_2_10201,background,5,1.0,16000,1,datasets/processed/fsc22_2_10201_0005.wav,OK,,,,,Rain,,,,
fsc22_2_10201_0006,fsc22,fsc22_2_10201,background,6,1.0,16000,1,datasets/processed/fsc22_2_10201_0006.wav,OK,,,,,Rain,,,,
fsc22_2_10201_0007,fsc22,fsc22_2_10201,background,7,1.0,16000,1,datasets/processed/fsc22_2_10201_0007.wav,OK,,,,,Rain,,,,
fsc22_2_10201_0008,fsc22,fsc22_2_10201,background,8,1.0,16000,1,datasets/processed/fsc22_2_10201_0008.wav,OK,,,,,Rain,,,,
fsc22_2_10202_0000,fsc22,fsc22_2_10202,background,0,1.0,16000,1,datasets/processed/fsc22_2_10202_0000.wav,OK,,,,,Rain,,,,
fsc22_2_10202_0001,fsc22,fsc22_2_10202,background,1,1.0,16000,1,datasets/processed/fsc22_2_10202_0001.wav,OK,,,,,Rain,,,,
fsc22_2_10202_0002,fsc22,fsc22_2_10202,background,2,1.0,16000,1,datasets/processed/fsc22_2_10202_0002.wav,OK,,,,,Rain,,,,
fsc22_2_10202_0003,fsc22,fsc22_2_10202,background,3,1.0,16000,1,datasets/processed/fsc22_2_10202_0003.wav,OK,,,,,Rain,,,,
fsc22_2_10202_0004,fsc22,fsc22_2_10202,background,4,1.0,16000,1,datasets/processed/fsc22_2_10202_0004.wav,OK,,,,,Rain,,,,
fsc22_2_10202_0005,fsc22,fsc22_2_10202,background,5,1.0,16000,1,datasets/processed/fsc22_2_10202_0005.wav,OK,,,,,Rain,,,,
fsc22_2_10202_0006,fsc22,fsc22_2_10202,background,6,1.0,16000,1,datasets/processed/fsc22_2_10202_0006.wav,OK,,,,,Rain,,,,
fsc22_2_10202_0007,fsc22,fsc22_2_10202,background,7,1.0,16000,1,datasets/processed/fsc22_2_10202_0007.wav,OK,,,,,Rain,,,,
fsc22_2_10202_0008,fsc22,fsc22_2_10202,background,8,1.0,16000,1,datasets/processed/fsc22_2_10202_0008.wav,OK,,,,,Rain,,,,
fsc22_2_10203_0000,fsc22,fsc22_2_10203,background,0,1.0,16000,1,datasets/processed/fsc22_2_10203_0000.wav,OK,,,,,Rain,,,,
fsc22_2_10203_0001,fsc22,fsc22_2_10203,background,1,1.0,16000,1,datasets/processed/fsc22_2_10203_0001.wav,OK,,,,,Rain,,,,
fsc22_2_10203_0002,fsc22,fsc22_2_10203,background,2,1.0,16000,1,datasets/processed/fsc22_2_10203_0002.wav,OK,,,,,Rain,,,,
fsc22_2_10203_0003,fsc22,fsc22_2_10203,background,3,1.0,16000,1,datasets/processed/fsc22_2_10203_0003.wav,OK,,,,,Rain,,,,
fsc22_2_10203_0004,fsc22,fsc22_2_10203,background,4,1.0,16000,1,datasets/processed/fsc22_2_10203_0004.wav,OK,,,,,Rain,,,,
fsc22_2_10203_0005,fsc22,fsc22_2_10203,background,5,1.0,16000,1,datasets/processed/fsc22_2_10203_0005.wav,OK,,,,,Rain,,,,
fsc22_2_10203_0006,fsc22,fsc22_2_10203,background,6,1.0,16000,1,datasets/processed/fsc22_2_10203_0006.wav,OK,,,,,Rain,,,,
fsc22_2_10203_0007,fsc22,fsc22_2_10203,background,7,1.0,16000,1,datasets/processed/fsc22_2_10203_0007.wav,OK,,,,,Rain,,,,
fsc22_2_10203_0008,fsc22,fsc22_2_10203,background,8,1.0,16000,1,datasets/processed/fsc22_2_10203_0008.wav,OK,,,,,Rain,,,,
fsc22_2_10204_0000,fsc22,fsc22_2_10204,background,0,1.0,16000,1,datasets/processed/fsc22_2_10204_0000.wav,OK,,,,,Rain,,,,
fsc22_2_10204_0001,fsc22,fsc22_2_10204,background,1,1.0,16000,1,datasets/processed/fsc22_2_10204_0001.wav,OK,,,,,Rain,,,,
fsc22_2_10204_0002,fsc22,fsc22_2_10204,background,2,1.0,16000,1,datasets/processed/fsc22_2_10204_0002.wav,OK,,,,,Rain,,,,
fsc22_2_10204_0003,fsc22,fsc22_2_10204,background,3,1.0,16000,1,datasets/processed/fsc22_2_10204_0003.wav,OK,,,,,Rain,,,,
fsc22_2_10204_0004,fsc22,fsc22_2_10204,background,4,1.0,16000,1,datasets/processed/fsc22_2_10204_0004.wav,OK,,,,,Rain,,,,
fsc22_2_10204_0005,fsc22,fsc22_2_10204,background,5,1.0,16000,1,datasets/processed/fsc22_2_10204_0005.wav,OK,,,,,Rain,,,,
fsc22_2_10204_0006,fsc22,fsc22_2_10204,background,6,1.0,16000,1,datasets/processed/fsc22_2_10204_0006.wav,OK,,,,,Rain,,,,
fsc22_2_10204_0007,fsc22,fsc22_2_10204,background,7,1.0,16000,1,datasets/processed/fsc22_2_10204_0007.wav,OK,,,,,Rain,,,,
fsc22_2_10204_0008,fsc22,fsc22_2_10204,background,8,1.0,16000,1,datasets/processed/fsc22_2_10204_0008.wav,OK,,,,,Rain,,,,
fsc22_2_10205_0000,fsc22,fsc22_2_10205,background,0,1.0,16000,1,datasets/processed/fsc22_2_10205_0000.wav,OK,,,,,Rain,,,,
fsc22_2_10205_0001,fsc22,fsc22_2_10205,background,1,1.0,16000,1,datasets/processed/fsc22_2_10205_0001.wav,OK,,,,,Rain,,,,
fsc22_2_10205_0002,fsc22,fsc22_2_10205,background,2,1.0,16000,1,datasets/processed/fsc22_2_10205_0002.wav,OK,,,,,Rain,,,,
fsc22_2_10205_0003,fsc22,fsc22_2_10205,background,3,1.0,16000,1,datasets/processed/fsc22_2_10205_0003.wav,OK,,,,,Rain,,,,
fsc22_2_10205_0004,fsc22,fsc22_2_10205,background,4,1.0,16000,1,datasets/processed/fsc22_2_10205_0004.wav,OK,,,,,Rain,,,,
fsc22_2_10205_0005,fsc22,fsc22_2_10205,background,5,1.0,16000,1,datasets/processed/fsc22_2_10205_0005.wav,OK,,,,,Rain,,,,
fsc22_2_10205_0006,fsc22,fsc22_2_10205,background,6,1.0,16000,1,datasets/processed/fsc22_2_10205_0006.wav,OK,,,,,Rain,,,,
fsc22_2_10205_0007,fsc22,fsc22_2_10205,background,7,1.0,16000,1,datasets/processed/fsc22_2_10205_0007.wav,OK,,,,,Rain,,,,
fsc22_2_10205_0008,fsc22,fsc22_2_10205,background,8,1.0,16000,1,datasets/processed/fsc22_2_10205_0008.wav,OK,,,,,Rain,,,,
fsc22_2_10207_0000,fsc22,fsc22_2_10207,background,0,1.0,16000,1,datasets/processed/fsc22_2_10207_0000.wav,OK,,,,,Rain,,,,
fsc22_2_10207_0001,fsc22,fsc22_2_10207,background,1,1.0,16000,1,datasets/processed/fsc22_2_10207_0001.wav,OK,,,,,Rain,,,,
fsc22_2_10207_0002,fsc22,fsc22_2_10207,background,2,1.0,16000,1,datasets/processed/fsc22_2_10207_0002.wav,OK,,,,,Rain,,,,
fsc22_2_10207_0003,fsc22,fsc22_2_10207,background,3,1.0,16000,1,datasets/processed/fsc22_2_10207_0003.wav,OK,,,,,Rain,,,,
fsc22_2_10207_0004,fsc22,fsc22_2_10207,background,4,1.0,16000,1,datasets/processed/fsc22_2_10207_0004.wav,OK,,,,,Rain,,,,
fsc22_2_10207_0005,fsc22,fsc22_2_10207,background,5,1.0,16000,1,datasets/processed/fsc22_2_10207_0005.wav,OK,,,,,Rain,,,,
fsc22_2_10207_0006,fsc22,fsc22_2_10207,background,6,1.0,16000,1,datasets/processed/fsc22_2_10207_0006.wav,OK,,,,,Rain,,,,
fsc22_2_10207_0007,fsc22,fsc22_2_10207,background,7,1.0,16000,1,datasets/processed/fsc22_2_10207_0007.wav,OK,,,,,Rain,,,,
fsc22_2_10207_0008,fsc22,fsc22_2_10207,background,8,1.0,16000,1,datasets/processed/fsc22_2_10207_0008.wav,OK,,,,,Rain,,,,
fsc22_2_10208_0000,fsc22,fsc22_2_10208,background,0,1.0,16000,1,datasets/processed/fsc22_2_10208_0000.wav,OK,,,,,Rain,,,,
fsc22_2_10208_0001,fsc22,fsc22_2_10208,background,1,1.0,16000,1,datasets/processed/fsc22_2_10208_0001.wav,OK,,,,,Rain,,,,
fsc22_2_10208_0002,fsc22,fsc22_2_10208,background,2,1.0,16000,1,datasets/processed/fsc22_2_10208_0002.wav,OK,,,,,Rain,,,,
fsc22_2_10208_0003,fsc22,fsc22_2_10208,background,3,1.0,16000,1,datasets/processed/fsc22_2_10208_0003.wav,OK,,,,,Rain,,,,
fsc22_2_10208_0004,fsc22,fsc22_2_10208,background,4,1.0,16000,1,datasets/processed/fsc22_2_10208_0004.wav,OK,,,,,Rain,,,,
fsc22_2_10208_0005,fsc22,fsc22_2_10208,background,5,1.0,16000,1,datasets/processed/fsc22_2_10208_0005.wav,OK,,,,,Rain,,,,
fsc22_2_10208_0006,fsc22,fsc22_2_10208,background,6,1.0,16000,1,datasets/processed/fsc22_2_10208_0006.wav,OK,,,,,Rain,,,,
fsc22_2_10208_0007,fsc22,fsc22_2_10208,background,7,1.0,16000,1,datasets/processed/fsc22_2_10208_0007.wav,OK,,,,,Rain,,,,
